Extracted_Keywords,Keyword_Trends,Trend_1,Trend_2,Trend_3,Trend_4,Trend_5,Trend_6
"['education', 'relief', 'support']","{'education': 84.56603773584905, 'relief': 53.20754716981132, 'support': 0}",84.56603773584905,53.20754716981132,0.0,,,
"['donate', 'help', 'charity']","{'donate': 67.9622641509434, 'help': 90.60377358490567, 'charity': 50.54716981132076}",,,,67.9622641509434,90.60377358490567,50.54716981132076
